"holiday","date_observed"
"New Year’s Day - observed","12/31/2021"
"Martin Luther King Day","1/17/2022"
"Presidents’ Day","2/21/2022"
"Spring Holiday","4/15/2022"
"Memorial Day","5/30/2022"
"Juneteenth - observed","6/20/2022"
"Independence Day","7/4/2022"
"Labor Day","9/5/2022"
"Thanksgiving","11/24/2022"
"Day after Thanksgiving","11/25/2022"
"Christmas Eve – observed","12/23/2022"
"Christmas Day - observed","12/26/2022"
"New Year’s Eve - observed","12/30/2022"
"New Year’s Day - observed","1/2/2023"
"Martin Luther King Day","1/16/2023"
"Presidents’ Day","2/20/2023"
"Spring Holiday","4/7/2023"
"Memorial Day","5/29/2023"
"Juneteenth","6/19/2023"
"Independence Day","7/4/2023"
"Labor Day","9/4/2023"
"Thanksgiving","11/23/2023"
"Day after Thanksgiving","11/24/2023"
"Christmas Eve – observed","12/22/2023"
"Christmas Day","12/25/2023"
"New Year’s Eve - observed","12/29/2023"