"sprint","start_date","end_date"
"Sprint 1 (FY23)","7/6/2022","7/19/2022"
"Sprint 2 (FY23)","7/20/2022","8/2/2022"
"Sprint 3 (FY23)","8/3/2022","8/16/2022"
"Sprint 4 (FY23)","8/17/2022","8/30/2022"
"Sprint 5 (FY23)","8/31/2022","9/13/2022"
"Sprint 6 (FY23)","9/14/2022","10/4/2022"
"Sprint 7 (FY23)","10/5/2022","10/18/2022"
"Sprint 8 (FY23)","10/19/2022","11/1/2022"
"Sprint 9 (FY23)","11/2/2022","11/15/2022"
"Sprint 10 (FY23)","11/16/2022","11/29/2022"
"Sprint 11 (FY23)","12/8/2022","12/19/2022"
"Sprint 12 (FY23)","1/4/2023","1/17/2023"
"Sprint 13 (FY23)","1/18/2023","1/31/2023"
"Sprint 14 (FY23)","2/1/2023","2/14/2023"
"Sprint 15 (FY23)","2/15/2023","2/28/2023"
"Sprint 16 (FY23)","3/1/2023","3/14/2023"
"Sprint 17 (FY23)","3/15/2023","3/28/2023"
"Sprint 18 (FY23)","3/29/2023","4/11/2023"
"Sprint 19 (FY23)","4/12/2023","4/25/2023"
"Sprint 20 (FY23)","4/26/2023","5/9/2023"
"Sprint 21 (FY23)","5/10/2023","5/23/2023"
"Sprint 22 (FY23)","5/24/2023","6/6/2023"
"Sprint 23 (FY23)","6/7/2023","6/20/2023"
"Sprint 24 (FY23)","6/21/2023","7/4/2023"